Cycle,Component,Rate Type,Parameter,Pearson's R,P-value
Solar Cycle 23,radial,oc_rate,sw,0.7196945142481939,0.005544422147757971
Solar Cycle 23,radial,oc_rate,dyn_pres,0.7271777293981405,0.004854414990804994
Solar Cycle 23,radial,oc_rate,B_z,0.6974571375189965,0.008045118572343758
Solar Cycle 23,radial,oc_rate_hp,sw_hp,0.8359561212044548,0.0003708732754008827
Solar Cycle 23,radial,oc_rate_hp,dyn_pres_hp,0.9294686376194168,4.3055427394987455e-06
Solar Cycle 23,radial,oc_rate_hp,B_z_hp,0.12036979831333043,0.6952807951098078
Solar Cycle 23,azimuthal,oc_rate,sw,0.7380370774255404,0.0039729585620414815
Solar Cycle 23,azimuthal,oc_rate,dyn_pres,0.7472792722157503,0.0033250074341091337
Solar Cycle 23,azimuthal,oc_rate,B_z,0.7060340549032509,0.00699578346920717
Solar Cycle 23,azimuthal,oc_rate_hp,sw_hp,0.8578584581532489,0.00017625894939118407
Solar Cycle 23,azimuthal,oc_rate_hp,dyn_pres_hp,0.9746802211841082,1.678970136539035e-08
Solar Cycle 23,azimuthal,oc_rate_hp,B_z_hp,0.1594740701517064,0.6027803785718054
Solar Cycle 23,parallel,oc_rate,sw,0.7099561070588026,0.006552410980611015
Solar Cycle 23,parallel,oc_rate,dyn_pres,0.7261785008228645,0.004942506246445114
Solar Cycle 23,parallel,oc_rate,B_z,0.6982007983196014,0.007949659794161462
Solar Cycle 23,parallel,oc_rate_hp,sw_hp,0.8622701838330691,0.00014951829935198145
Solar Cycle 23,parallel,oc_rate_hp,dyn_pres_hp,0.95691947085437,3.017708365674015e-07
Solar Cycle 23,parallel,oc_rate_hp,B_z_hp,0.0602927116899938,0.8448760637477067
Solar Cycle 24,radial,oc_rate,sw,0.7361628526071144,0.009789909994726481
Solar Cycle 24,radial,oc_rate,dyn_pres,0.6988477038081004,0.01672653373294486
Solar Cycle 24,radial,oc_rate,B_z,0.8345332882330185,0.001397709642125582
Solar Cycle 24,radial,oc_rate_hp,sw_hp,0.7776632071981349,0.004838039339296332
Solar Cycle 24,radial,oc_rate_hp,dyn_pres_hp,0.9052279057256858,0.00012661283981597486
Solar Cycle 24,radial,oc_rate_hp,B_z_hp,0.32894235149028345,0.32328574827224416
Solar Cycle 24,azimuthal,oc_rate,sw,0.8300770442369005,0.0015645827323760068
Solar Cycle 24,azimuthal,oc_rate,dyn_pres,0.8139626941305316,0.0022947548314710222
Solar Cycle 24,azimuthal,oc_rate,B_z,0.7743160367509845,0.005147569713912993
Solar Cycle 24,azimuthal,oc_rate_hp,sw_hp,0.8153464458356049,0.0022236658842884967
Solar Cycle 24,azimuthal,oc_rate_hp,dyn_pres_hp,0.8893913652119882,0.0002478718522679853
Solar Cycle 24,azimuthal,oc_rate_hp,B_z_hp,0.3430867012805343,0.30163420770225907
Solar Cycle 24,parallel,oc_rate,sw,0.7656008464390356,0.00602182865939505
Solar Cycle 24,parallel,oc_rate,dyn_pres,0.8960877586989631,0.0001890226768469622
Solar Cycle 24,parallel,oc_rate,B_z,0.7330393279706501,0.010271331688151848
Solar Cycle 24,parallel,oc_rate_hp,sw_hp,0.7352760157934081,0.009924891250595385
Solar Cycle 24,parallel,oc_rate_hp,dyn_pres_hp,0.8467320637681446,0.0010088168870132346
Solar Cycle 24,parallel,oc_rate_hp,B_z_hp,0.46552174629632515,0.14902715060620408
